2023-02-05 01:09:30 INFO  WebdriverEvents:43 - navigating to https://demoqa.com/
2023-02-05 01:09:32 INFO  WebdriverEvents:49 - Navigated to https://demoqa.com/
2023-02-05 01:09:32 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:09:32 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:09:32 INFO  WebdriverEvents:102 - Clicking on [[EdgeDriver: msedge on WINDOWS (39019f9318ff7174d8b8d3d8be647e8b)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:09:32 INFO  WebdriverEvents:108 - Clicked on [[EdgeDriver: msedge on WINDOWS (39019f9318ff7174d8b8d3d8be647e8b)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:09:32 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:09:32 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:09:32 INFO  WebdriverEvents:90 - Finding element By.id: uploadFile
2023-02-05 01:09:32 INFO  WebdriverEvents:96 - Elelement Found By.id: uploadFile
2023-02-05 01:09:32 INFO  WebdriverEvents:90 - Finding element By.id: uploadedFilePath
2023-02-05 01:09:32 INFO  WebdriverEvents:96 - Elelement Found By.id: uploadedFilePath
2023-02-05 01:09:32 INFO  WebdriverEvents:168 - Getting text from [[EdgeDriver: msedge on WINDOWS (39019f9318ff7174d8b8d3d8be647e8b)] -> id: uploadedFilePath]
2023-02-05 01:09:32 INFO  WebdriverEvents:174 - Got text from [[EdgeDriver: msedge on WINDOWS (39019f9318ff7174d8b8d3d8be647e8b)] -> id: uploadedFilePath]
2023-02-05 01:09:40 INFO  WebdriverEvents:43 - navigating to https://demoqa.com/
2023-02-05 01:09:42 INFO  WebdriverEvents:49 - Navigated to https://demoqa.com/
2023-02-05 01:09:42 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:09:42 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:09:42 INFO  WebdriverEvents:102 - Clicking on [[EdgeDriver: msedge on WINDOWS (41977b134777a3ab06d65f46446b5fe5)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:09:42 INFO  WebdriverEvents:108 - Clicked on [[EdgeDriver: msedge on WINDOWS (41977b134777a3ab06d65f46446b5fe5)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:09:42 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:09:43 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:09:43 INFO  WebdriverEvents:90 - Finding element By.id: downloadButton
2023-02-05 01:09:43 INFO  WebdriverEvents:96 - Elelement Found By.id: downloadButton
2023-02-05 01:09:43 INFO  WebdriverEvents:102 - Clicking on [[EdgeDriver: msedge on WINDOWS (41977b134777a3ab06d65f46446b5fe5)] -> id: downloadButton]
2023-02-05 01:09:43 INFO  WebdriverEvents:108 - Clicked on [[EdgeDriver: msedge on WINDOWS (41977b134777a3ab06d65f46446b5fe5)] -> id: downloadButton]
2023-02-05 01:10:53 INFO  WebdriverEvents:43 - navigating to https://demoqa.com/
2023-02-05 01:10:55 INFO  WebdriverEvents:49 - Navigated to https://demoqa.com/
2023-02-05 01:10:55 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:10:55 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:10:55 INFO  WebdriverEvents:102 - Clicking on [[EdgeDriver: msedge on WINDOWS (f917e0c12f5d7e9f1995461238919e7a)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:10:56 INFO  WebdriverEvents:108 - Clicked on [[EdgeDriver: msedge on WINDOWS (f917e0c12f5d7e9f1995461238919e7a)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:10:56 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:10:56 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:10:56 INFO  WebdriverEvents:90 - Finding element By.id: downloadButton
2023-02-05 01:10:56 INFO  WebdriverEvents:96 - Elelement Found By.id: downloadButton
2023-02-05 01:10:56 INFO  WebdriverEvents:102 - Clicking on [[EdgeDriver: msedge on WINDOWS (f917e0c12f5d7e9f1995461238919e7a)] -> id: downloadButton]
2023-02-05 01:10:56 INFO  WebdriverEvents:108 - Clicked on [[EdgeDriver: msedge on WINDOWS (f917e0c12f5d7e9f1995461238919e7a)] -> id: downloadButton]
2023-02-05 01:11:43 INFO  WebdriverEvents:43 - navigating to https://demoqa.com/
2023-02-05 01:11:45 INFO  WebdriverEvents:49 - Navigated to https://demoqa.com/
2023-02-05 01:11:45 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:11:45 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:11:45 INFO  WebdriverEvents:102 - Clicking on [[FirefoxDriver: firefox on WINDOWS (bb51ebcc-ed8b-42c2-bd5b-61dc8a037db8)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:11:46 INFO  WebdriverEvents:108 - Clicked on [[FirefoxDriver: firefox on WINDOWS (bb51ebcc-ed8b-42c2-bd5b-61dc8a037db8)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:11:46 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:11:46 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:11:46 INFO  WebdriverEvents:90 - Finding element By.id: downloadButton
2023-02-05 01:11:46 INFO  WebdriverEvents:96 - Elelement Found By.id: downloadButton
2023-02-05 01:11:46 INFO  WebdriverEvents:102 - Clicking on [[FirefoxDriver: firefox on WINDOWS (bb51ebcc-ed8b-42c2-bd5b-61dc8a037db8)] -> id: downloadButton]
2023-02-05 01:11:46 INFO  WebdriverEvents:108 - Clicked on [[FirefoxDriver: firefox on WINDOWS (bb51ebcc-ed8b-42c2-bd5b-61dc8a037db8)] -> id: downloadButton]
2023-02-05 01:11:55 INFO  WebdriverEvents:43 - navigating to https://demoqa.com/
2023-02-05 01:11:57 INFO  WebdriverEvents:49 - Navigated to https://demoqa.com/
2023-02-05 01:11:57 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:11:57 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:11:57 INFO  WebdriverEvents:102 - Clicking on [[FirefoxDriver: firefox on WINDOWS (225f0b07-63b3-4572-86c8-11bbc6a760dc)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:11:58 INFO  WebdriverEvents:108 - Clicked on [[FirefoxDriver: firefox on WINDOWS (225f0b07-63b3-4572-86c8-11bbc6a760dc)] -> css selector: div.category-cards>div:first-of-type]
2023-02-05 01:11:58 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:11:58 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.accordion>div:first-of-type ul #item-7
2023-02-05 01:11:58 INFO  WebdriverEvents:90 - Finding element By.id: uploadFile
2023-02-05 01:11:58 INFO  WebdriverEvents:96 - Elelement Found By.id: uploadFile
2023-02-05 01:11:58 INFO  WebdriverEvents:90 - Finding element By.id: uploadedFilePath
2023-02-05 01:11:58 INFO  WebdriverEvents:96 - Elelement Found By.id: uploadedFilePath
2023-02-05 01:11:58 INFO  WebdriverEvents:168 - Getting text from [[FirefoxDriver: firefox on WINDOWS (225f0b07-63b3-4572-86c8-11bbc6a760dc)] -> id: uploadedFilePath]
2023-02-05 01:11:58 INFO  WebdriverEvents:174 - Got text from [[FirefoxDriver: firefox on WINDOWS (225f0b07-63b3-4572-86c8-11bbc6a760dc)] -> id: uploadedFilePath]
2023-02-05 01:17:43 INFO  WebdriverEvents:43 - navigating to https://demoqa.com/
2023-02-05 01:17:46 INFO  WebdriverEvents:49 - Navigated to https://demoqa.com/
2023-02-05 01:17:46 INFO  WebdriverEvents:90 - Finding element By.cssSelector: div.category-cards>div:first-of-type
2023-02-05 01:17:46 INFO  WebdriverEvents:96 - Elelement Found By.cssSelector: div.category-cards>div:first-of-type
